barcode	ips_ctla4_neg_pd1_neg	ips_ctla4_neg_pd1_pos	ips_ctla4_pos_pd1_neg	ips_ctla4_pos_pd1_pos
TCGA-AF-2687	8	7	8	7
TCGA-AF-2690	8	7	8	7
TCGA-AF-2691	10	8	9	8
TCGA-AF-2692	8	7	8	6
TCGA-AF-2693	9	8	9	8
TCGA-AF-3400	7	7	7	7
TCGA-AF-3911	9	8	9	7
TCGA-AF-3913	8	6	7	6
TCGA-AF-4110	9	8	9	8
TCGA-AF-5654	8	6	7	6
TCGA-AF-6136	9	8	9	7
TCGA-AF-6655	8	7	8	7
TCGA-AF-6672	9	8	9	7
TCGA-AF-A56K	8	6	8	6
TCGA-AF-A56L	9	7	8	7
TCGA-AF-A56N	8	7	8	6
TCGA-AG-3574	7	6	7	5
TCGA-AG-3575	9	9	9	8
TCGA-AG-3578	8	6	7	6
TCGA-AG-3580	9	8	9	7
TCGA-AG-3581	9	7	8	7
TCGA-AG-3582	9	8	8	7
TCGA-AG-3583	9	8	9	7
TCGA-AG-3584	8	7	8	6
TCGA-AG-3586	9	8	9	8
TCGA-AG-3587	9	8	9	7
TCGA-AG-3591	10	8	9	8
TCGA-AG-3592	9	8	9	7
TCGA-AG-3593	9	7	8	7
TCGA-AG-3594	9	9	9	8
TCGA-AG-3598	10	9	9	8
TCGA-AG-3599	10	9	10	8
TCGA-AG-3600	8	7	8	7
TCGA-AG-3601	8	6	8	6
TCGA-AG-3602	10	9	10	8
TCGA-AG-3605	9	7	8	7
TCGA-AG-3608	10	9	10	8
TCGA-AG-3609	9	8	9	8
TCGA-AG-3611	10	9	10	8
TCGA-AG-3612	9	7	8	7
TCGA-AG-3725	9	8	9	8
TCGA-AG-3726	9	7	8	7
TCGA-AG-3727	9	8	8	7
TCGA-AG-3728	10	9	10	9
TCGA-AG-3731	8	7	8	7
TCGA-AG-3732	9	8	9	8
TCGA-AG-3742	8	6	8	6
TCGA-AG-3878	9	8	9	8
TCGA-AG-3881	9	8	9	8
