ID	geneCluster
GSE13898_GSM349960	A
GSE13898_GSM349961	A
GSE13898_GSM349962	A
GSE13898_GSM349963	A
GSE13898_GSM349964	A
GSE13898_GSM349965	A
GSE13898_GSM349966	A
GSE13898_GSM349967	A
GSE13898_GSM349968	A
GSE13898_GSM349969	A
GSE13898_GSM349970	A
GSE13898_GSM349971	A
GSE13898_GSM349972	A
GSE13898_GSM349973	A
GSE13898_GSM349974	A
GSE13898_GSM349975	A
GSE13898_GSM349976	B
GSE13898_GSM349977	A
GSE13898_GSM349978	A
GSE13898_GSM349979	A
GSE13898_GSM349980	A
GSE13898_GSM349981	A
GSE13898_GSM349982	A
GSE13898_GSM349983	A
GSE13898_GSM349984	A
GSE13898_GSM349985	A
GSE13898_GSM349986	A
GSE13898_GSM349987	A
GSE13898_GSM349988	B
GSE13898_GSM349989	A
GSE13898_GSM349990	B
GSE13898_GSM349991	B
GSE13898_GSM349992	B
GSE13898_GSM349993	B
GSE13898_GSM349994	B
GSE13898_GSM349995	B
GSE13898_GSM349996	C
GSE13898_GSM349997	B
GSE13898_GSM349998	B
GSE13898_GSM349999	B
GSE13898_GSM350000	B
GSE13898_GSM350001	B
GSE13898_GSM350002	B
GSE13898_GSM350003	B
GSE13898_GSM350004	B
GSE13898_GSM350005	B
GSE13898_GSM350006	B
GSE13898_GSM350007	A
GSE13898_GSM350008	A
GSE13898_GSM350009	B
GSE13898_GSM350010	B
GSE13898_GSM350011	B
GSE13898_GSM350012	B
GSE13898_GSM350013	C
GSE13898_GSM350014	A
GSE13898_GSM350015	B
GSE13898_GSM350016	B
GSE13898_GSM350017	B
GSE13898_GSM350018	B
GSE13898_GSM350019	B
GSE13898_GSM350020	A
GSE13898_GSM350021	C
GSE13898_GSM350022	C
GSE13898_GSM350023	A
GSE13898_GSM350024	A
GSE13898_GSM350025	B
GSE13898_GSM350026	A
GSE13898_GSM350027	C
GSE13898_GSM350028	A
GSE13898_GSM350029	A
GSE13898_GSM350030	A
GSE13898_GSM350031	C
GSE13898_GSM350032	C
GSE13898_GSM350033	C
GSE13898_GSM350034	C
GSE13898_GSM350035	C
GSE13898_GSM350036	C
GSE13898_GSM350037	C
GSE13898_GSM350038	C
GSE13898_GSM350039	C
GSE13898_GSM350040	C
GSE13898_GSM350041	C
GSE13898_GSM350042	C
GSE13898_GSM350043	C
GSE13898_GSM350044	C
GSE13898_GSM350045	C
GSE13898_GSM350046	C
GSE13898_GSM350047	C
GSE13898_GSM350048	C
GSE13898_GSM350049	C
GSE13898_GSM350050	C
GSE13898_GSM350051	C
GSE13898_GSM350052	C
GSE13898_GSM350053	A
GSE13898_GSM350054	C
GSE13898_GSM350055	B
GSE13898_GSM350056	C
GSE13898_GSM350057	B
GSE13898_GSM350058	B
