id	TCGA_TCGA-AF-3911	TCGA_TCGA-AG-4021	TCGA_TCGA-EI-6510	TCGA_TCGA-AF-2690	TCGA_TCGA-AG-4022	TCGA_TCGA-EI-6507	TCGA_TCGA-CL-4957	TCGA_TCGA-F5-6861	TCGA_TCGA-AG-3731	TCGA_TCGA-EI-6917	TCGA_TCGA-EI-6512	TCGA_TCGA-AG-3896	TCGA_TCGA-F5-6864	TCGA_TCGA-AG-A01L	TCGA_TCGA-AG-A00Y	TCGA_TCGA-AG-3575	TCGA_TCGA-AG-A023	TCGA_TCGA-F5-6863	TCGA_TCGA-DY-A1DE	TCGA_TCGA-F5-6814	TCGA_TCGA-AH-6549	TCGA_TCGA-AG-3726	TCGA_TCGA-AG-A01Y	TCGA_TCGA-EI-6882	TCGA_TCGA-DC-5869	TCGA_TCGA-AG-A032	TCGA_TCGA-AG-3887	TCGA_TCGA-AG-A026	TCGA_TCGA-DY-A1H8	TCGA_TCGA-AG-3894	TCGA_TCGA-EI-6508	TCGA_TCGA-EI-6506	TCGA_TCGA-AG-3892	TCGA_TCGA-AG-A01W	TCGA_TCGA-AG-3587	TCGA_TCGA-CI-6622	TCGA_TCGA-F5-6571	TCGA_TCGA-AG-A002	TCGA_TCGA-EF-5830	TCGA_TCGA-AG-A011	TCGA_TCGA-AG-A02N	TCGA_TCGA-AG-4005	TCGA_TCGA-EI-6513	TCGA_TCGA-AG-A00H	TCGA_TCGA-BM-6198	TCGA_TCGA-CI-6619	TCGA_TCGA-AG-A025	TCGA_TCGA-CI-6621	TCGA_TCGA-AG-A008	TCGA_TCGA-AG-A036	TCGA_TCGA-AG-3612	TCGA_TCGA-CI-6623	TCGA_TCGA-F5-6810	TCGA_TCGA-EI-6509	TCGA_TCGA-AF-4110	TCGA_TCGA-AG-A02G	TCGA_TCGA-AG-3883	TCGA_TCGA-AG-3728	TCGA_TCGA-EI-6881	TCGA_TCGA-EI-6883	TCGA_TCGA-AG-A00C	TCGA_TCGA-EI-6511	TCGA_TCGA-EI-6885	TCGA_TCGA-AG-3878	TCGA_TCGA-DY-A1DG	TCGA_TCGA-AG-3574	TCGA_TCGA-AG-A015	TCGA_TCGA-AG-3608	TCGA_TCGA-AG-A01J	TCGA_TCGA-AF-2692	TCGA_TCGA-AG-A02X	TCGA_TCGA-AG-A020	TCGA_TCGA-AG-3890	TCGA_TCGA-AG-A014	TCGA_TCGA-CI-6624	TCGA_TCGA-EI-6884	TCGA_TCGA-DT-5265	TCGA_TCGA-EF-5831	TCGA_TCGA-AG-A01N	TCGA_TCGA-AG-3584	TCGA_TCGA-AG-3885	TCGA_TCGA-CL-5918	TCGA_TCGA-EI-7002	TCGA_TCGA-AG-3898	TCGA_TCGA-G5-6233	TCGA_TCGA-DC-6158	TCGA_TCGA-EI-6514	TCGA_TCGA-AG-A016	TCGA_TCGA-CI-6620	GSE133057_GSM3899156	GSE133057_GSM3899157	GSE133057_GSM3899158	GSE133057_GSM3899159	GSE133057_GSM3899160	GSE133057_GSM3899161	GSE133057_GSM3899162	GSE133057_GSM3899163	GSE133057_GSM3899164	GSE133057_GSM3899165	GSE133057_GSM3899166	GSE133057_GSM3899167	GSE133057_GSM3899168	GSE133057_GSM3899169	GSE133057_GSM3899170	GSE133057_GSM3899171	GSE133057_GSM3899172	GSE133057_GSM3899173	GSE133057_GSM3899174	GSE133057_GSM3899175	GSE133057_GSM3899176	GSE133057_GSM3899177	GSE133057_GSM3899178	GSE133057_GSM3899179	GSE133057_GSM3899180	GSE133057_GSM3899181	GSE133057_GSM3899182	GSE133057_GSM3899183	GSE133057_GSM3899184	GSE133057_GSM3899185	GSE133057_GSM3899186	GSE133057_GSM3899187	GSE133057_GSM3899188
Activated.B.cellna	0.186451900441512	0.128525100990183	0.30240673373111	0.499552516171915	0.304185460446563	0.179644936832344	0.161771405317274	0.140061455635853	0.4291663561619	0.337350809174272	0.19497453639112	0.285356467420054	0.226306262535895	0.166096627664797	0.270407475707231	0.192776382675551	0.421463315442323	0.154684971500281	0.199074574139529	0.23214400079135	0.198682063892039	0.159561704091434	0.329154699112523	0.255216755900478	0.154951446897631	0.232648557634613	0.201899204281868	0.10378668900471	0.0588767000636139	0.174803233383232	0.261920428667744	0.334243554395079	0.437464213680054	0.30793704654021	0.190848038342959	0.162748579604901	0.258632466816217	0.0432345350563595	0.0533494767749125	0.349111559265511	0.186956506673207	0.204058913373634	0.111315919700637	0.133802257933357	0.262941165412228	0.229726696191524	0.185459049624632	0.204917204552629	0.0788041598636884	0.191983326732626	0.261366277615394	0.12505100754864	0.150026818253319	0.0201435398335378	0.449523713941045	0.182578788552572	0.224035961047536	0.493877825962167	0.162025974788619	0.261551092705565	0.224170469303332	0.43738308570041	0.201800959057879	0.409297038800131	0.0825706722304981	0.156846589702355	0.12985552738828	0.289284505904174	0.199549871857511	0.158204014370381	0.169838383048095	0.123436167580282	0.449008653280875	0.0718497746746496	0.361330279539787	0.39722150269893	0.0977881113957752	0.191280368414634	0.116252750978098	0.251200745631709	0.259580597478669	0.0876843968258412	0.186245084986043	0.18651538970361	0.154131365413792	0.21691236684871	0.145821881645292	0.0937076561256296	0.316340289893956	0.255886407701408	0.162297434833483	0.0885346569524612	0.27515107803615	0.227660195441529	0.064220354100287	0.340188577398858	0.162246943279041	0.499145934133481	0.0219625964540058	0.287443825630932	0.314803690303425	0.187370729217321	0.187140460934545	0.115683719795076	0.15858795478265	0.278482955757892	0.105756548117585	0.132182700230999	0.252648256903086	0.134506887339663	0.28103151622115	0.233292326225071	0.0691222644660439	0.11438597623012	0.380752481305779	0.215750252907404	0.180091897448724	0.260784209890249	0.275289824317785	0.178926410970047	0.218420726339664	0.169910981277529
Activated.CD4.T.cellna	0.697325401507141	0.658315095663571	0.691487838732403	0.826965707488705	0.676493568722315	0.842472983950835	0.650650969000847	0.64363049268611	0.817994354288228	0.827501500751713	0.692030950704092	0.635566977787263	0.610796976032809	0.576267776759838	0.6798341202809	0.739494394054784	0.667660872850705	0.537013875001	0.712892169044528	0.729191837120664	0.673795486288903	0.52885715492357	0.739813027676088	0.812744050519817	0.736525540748537	0.625375124092207	0.736722141456907	0.55842473391084	0.676515286043047	0.609375994577986	0.698651712440757	0.728103426254531	0.820704374211964	0.764372855943112	0.661114022669184	0.617518937955658	0.644661108678193	0.621883028870257	0.616347023592783	0.585529124972292	0.741164134246785	0.64278544887448	0.669966089104642	0.563250014769516	0.815522121513415	0.680296111496724	0.641520414938763	0.737308176676162	0.654828192652357	0.698080385959555	0.684648374134881	0.720016533499375	0.68020617067836	0.565831906740086	0.687338582827557	0.591771715032085	0.646089526955655	0.585815469981966	0.741569903267855	0.6492782064257	0.6269839285152	0.809454588225157	0.732553070577649	0.587449742243966	0.636666277274071	0.572310210654739	0.608993327484542	0.721070738130027	0.584958638058237	0.73634482086878	0.685465435608087	0.682190986991405	0.698237022727257	0.582545499852842	0.660120616929489	0.704932251155026	0.569754308127221	0.698077297207866	0.588359045893417	0.658839051514602	0.553627040920829	0.655606659838071	0.547448824729546	0.754591883919254	0.716165614672721	0.7249022494974	0.526512941089051	0.592568344048558	0.733296303185611	0.702757372816267	0.546625021022862	0.703206766628091	0.554292453142765	0.732969786702107	0.633121339290164	0.769681859386548	0.643341585410803	0.601066275537683	0.438558581213414	0.632303027507919	0.686680120071712	0.697212862523871	0.729098594646824	0.690164102361222	0.692501179651094	0.748012381885397	0.610250676312073	0.628173899187218	0.685595787210338	0.688756804681229	0.735230952219199	0.722719766011093	0.539092071029285	0.628381323531506	0.645546489593118	0.661860087672779	0.620485769359958	0.728930799557972	0.726440381386581	0.714601381881696	0.706775676739641	0.703563165494738
Activated.CD8.T.cellna	0.610100334571272	0.536346804633251	0.647541969824958	0.84891197523536	0.628046426999538	0.780864122074704	0.599139521235923	0.620975086541734	0.750180943086533	0.745017778458123	0.624983589454091	0.615553282252675	0.623626637944598	0.603185350077472	0.67207381535757	0.712350108567227	0.690112605714726	0.513687668863702	0.65122130224981	0.766079416312244	0.561784693733884	0.628469897277589	0.656787932615359	0.64546063558595	0.637179796820228	0.621542717444739	0.753157933436392	0.561991372909954	0.643643858426248	0.623091088930604	0.609371959530739	0.671031796748939	0.839452186430355	0.673655787895808	0.644769910887169	0.554759626430608	0.701420553882551	0.530429120091964	0.702281120959775	0.645433541550455	0.732779883159306	0.587936966446492	0.598296752559521	0.562860447236278	0.770463662230903	0.627568175106656	0.642721096617156	0.695398458684283	0.642001042958804	0.656387546665595	0.655556284861626	0.606708596685385	0.586428508198621	0.50753194998376	0.70486925390567	0.625074062719743	0.720971388522721	0.750395547781553	0.616610565251798	0.742174440662652	0.664643005310928	0.86808176383921	0.650023283206464	0.764638674793608	0.601801892460994	0.641458009332144	0.554721984542596	0.762618044632519	0.67032177251514	0.635801062835667	0.63093106353223	0.632470045662567	0.73666371832293	0.53775667070732	0.692489859241947	0.67176293468308	0.583476712824439	0.604130575845751	0.562217448891445	0.677765708437357	0.682859232675176	0.676791721781268	0.568269355576719	0.649835193505931	0.576006943841415	0.667900431146806	0.573903062837654	0.539448371990022	0.650385553332577	0.575597944058983	0.552653212145129	0.596686823004582	0.617539578469175	0.679298486107872	0.575728742941204	0.727176123745391	0.60857407143818	0.749539234680606	0.55200161033735	0.679508162687478	0.698344628580974	0.678966689536615	0.703951158766073	0.554703087319278	0.672107316251826	0.730421536900573	0.659138481339327	0.672620766884562	0.643649067097964	0.687928039785348	0.720247950650762	0.699587049044657	0.55971906720472	0.58814663524565	0.685642622502114	0.64703314054567	0.553665563625619	0.716327953139691	0.750397936504926	0.589225745390881	0.584236019539055	0.551454455713586
Activated.dendritic.cellna	0.651977529775749	0.655989129559166	0.62974695180933	0.718537235379104	0.695548798284569	0.759122000359561	0.603506951231693	0.6326296862711	0.738037276480684	0.774503378271865	0.680049963964513	0.64272395614461	0.689707961392779	0.633959059453139	0.662300483907509	0.745560167366337	0.617788411807326	0.587048418224845	0.664986347570616	0.675423992364606	0.663751597968062	0.631931547955593	0.685196493246085	0.67049403829644	0.645725537174433	0.63721056305	0.649052728716054	0.597352316109349	0.629334892576861	0.62470820765088	0.601314379471035	0.667982311517964	0.717312886308383	0.669757751851505	0.657974840187965	0.612060144784408	0.686951013176072	0.595110203587898	0.645331750489313	0.618972889059703	0.698592165809536	0.688747400810697	0.626799356775444	0.614523630602813	0.721572767915341	0.656466340123043	0.641883621937578	0.693384532483235	0.630719077748633	0.630846293938594	0.674844315458435	0.670639763482157	0.620778062005322	0.631629190931894	0.704075491944476	0.636645399206743	0.710455073333492	0.701347133149834	0.657845859130103	0.63950269249432	0.628442179871382	0.718885098157041	0.660479029981991	0.659988225238648	0.62144816465617	0.640326532253409	0.609467151122484	0.681906285826944	0.623642804629731	0.6359533689903	0.604514477339967	0.622017359952059	0.660529901621731	0.615487165527939	0.687654605464631	0.690003062276424	0.69297956523922	0.666226249970297	0.611178176888252	0.678280256232611	0.660494666306226	0.628684403620054	0.641986900560527	0.685823726435052	0.663550972908784	0.709967270172853	0.652759969613044	0.558529835603229	0.658686184763321	0.715823159122702	0.648440501990226	0.637026016299913	0.626275287197068	0.695791948265576	0.691458109728594	0.699085080101162	0.692667054364188	0.718539975386945	0.667755933124405	0.712060836491721	0.695778106191207	0.719625019199464	0.678185982039459	0.657707581044072	0.677456166547359	0.69131323886902	0.681270634105508	0.639122478045195	0.659325488202529	0.68571859646803	0.700250461293604	0.716548519311851	0.628571998615244	0.70439930934632	0.736313203880115	0.659007096458991	0.653343574114933	0.735096315897401	0.695748893059498	0.702025890775161	0.685679907428897	0.670291468116322
CD56bright.natural.killer.cellna	0.722320274263406	0.698128008511045	0.684646893550837	0.768880923915281	0.711940326867359	0.701117370511858	0.703225822929752	0.720318467157924	0.701148892053924	0.705611165406726	0.718075947243803	0.718290652698554	0.672976993751519	0.711522898490599	0.738643055025497	0.741741263208842	0.695678768204479	0.720684520274247	0.753316749679668	0.735340386114392	0.728911129643691	0.742000201570731	0.703408470710862	0.719020732491604	0.688908296698321	0.697442570276629	0.737835744504784	0.697994334148564	0.72749102341451	0.721464213246999	0.644547060332692	0.713915174270541	0.731323928343468	0.6935503369934	0.722829465543073	0.727608559029013	0.699637526865256	0.715837512684953	0.788222518044396	0.740755331578111	0.699859333161761	0.680296115848988	0.719194197753708	0.698762353963459	0.738968353254347	0.707022229622528	0.678160086856177	0.726114074992211	0.707205515855568	0.736355704135549	0.725352819726307	0.684858988784934	0.692387686052598	0.700582565505397	0.715714563120126	0.725708654648618	0.73020328205141	0.714638276988131	0.717078451034739	0.741727039729042	0.677095129648572	0.724979529128046	0.771222186677857	0.741679479224354	0.725504629612479	0.710582590098797	0.729474427273911	0.712908386072889	0.693598322188833	0.690736957696941	0.659074242861615	0.690224467954744	0.686793354815914	0.645395488525466	0.724912511790148	0.723865313364181	0.764081099625705	0.725449050038677	0.692813894556823	0.68058718520155	0.709637909581628	0.738266638254444	0.712174694184003	0.722526610958478	0.704546126605654	0.72868991966356	0.72549028247103	0.673256607879353	0.662145155977426	0.699099121422488	0.693251492500154	0.69309871919026	0.726361579957149	0.702743551061816	0.693067867766725	0.720054423764578	0.683961171034127	0.699782903128802	0.747653542844621	0.730952070848209	0.722617691475459	0.725201283330598	0.710531841794018	0.748376555040049	0.727657353520866	0.708690261507736	0.751083617122223	0.721684208325257	0.694582346974436	0.692452909190977	0.69880025458599	0.686864105949036	0.679910459784194	0.695805954123857	0.696049711118026	0.67361989488104	0.683125206131786	0.717605644435092	0.693873244787056	0.692604002942069	0.70353390359095	0.670611650265942
CD56dim.natural.killer.cellna	0.791700228043124	0.850946536724427	0.794331996389541	0.761590976724799	0.777632111445509	0.869017889987451	0.821362792754856	0.767397348320536	0.75443192745978	0.820988754209696	0.835777564777021	0.844236375032677	0.801988855923487	0.862614009437464	0.812971301081956	0.770235376667592	0.84574285689129	0.794704911266257	0.818784503444059	0.772340626359478	0.798095094379281	0.937398194630577	0.748405184607165	0.789464087072075	0.737150555603034	0.857782092308889	0.819284975701737	0.795015900562813	0.835786653837649	0.772932285764968	0.772435695677773	0.811714377150308	0.820167285843422	0.809326130898101	0.853739176702618	0.806007136136664	0.801287564624179	0.85214105086565	0.818096354757765	0.871209047800888	0.824640422813055	0.856747049064109	0.787650619137674	0.839720514271387	0.763050074221973	0.787824761521322	0.840810031204144	0.783323647129923	0.816957007576174	0.772873202717254	0.844072502888571	0.766794428971855	0.735984537374351	0.8280570071342	0.788354828139119	0.800589238442049	0.918991912934337	0.882329515665894	0.788700683089785	0.820763322379121	0.803091761965102	0.812804359545678	0.843053990797031	0.91211299945856	0.826388704468307	0.818828561986149	0.815167103199447	0.843350799452275	0.864335821966488	0.816643742914834	0.843925969175113	0.842049460128974	0.849347551673295	0.867374329208359	0.816035380581652	0.764998943242276	0.835749062445883	0.849475321418347	0.826749068938657	0.898760332739638	0.934333225465071	0.799241456585943	0.809839812443012	0.844538041119946	0.84183051415028	0.789572269049428	0.780018876866212	0.83671203389525	0.809185538135173	0.815552253913641	0.899816816669747	0.808772839752445	0.845100919484401	0.869348336481971	0.767489856598685	0.795750031982645	0.797361389699645	0.788604564771684	0.784547079460259	0.781837458716917	0.803685782869251	0.843479964932066	0.792042059874423	0.872550140242261	0.888768246385809	0.772052649700196	0.783839716454675	0.83057663528723	0.784629715138038	0.79510710647908	0.782127671728452	0.783705938045161	0.820770681035752	0.865115134210202	0.797788132995507	0.825454109718897	0.835085205857595	0.857211325411078	0.827941311167754	0.844888055334809	0.823107397195023	0.78403596307517
Eosinophilna	0.404658835397113	0.256886104188605	0.304916560053337	0.454352329693231	0.449663579958635	0.278022453766758	0.296933878764429	0.348695234780077	0.466014772792824	0.287472675678764	0.305052693522	0.380056339202717	0.314679109102186	0.26325531881959	0.377130916915119	0.307321218047137	0.352860671173766	0.295927862879197	0.322049298570697	0.284749544289545	0.378166412982738	0.31302558348141	0.273718222155828	0.354105517892658	0.398356027469159	0.35312674508408	0.331676592513195	0.345707616037856	0.35418810921097	0.314952531191423	0.28404210465733	0.342223278743529	0.391196672015395	0.281583379127006	0.331440885373235	0.424837539049444	0.413983720722267	0.229002548309202	0.32386437070655	0.304704817091432	0.418225938399989	0.318910902411944	0.346048037137253	0.32111066051576	0.409006925476047	0.311347114209733	0.290133042221343	0.319912257958126	0.302592019223133	0.310809727809703	0.33037948080534	0.305147573349043	0.339578533605339	0.305335257809475	0.371876644988988	0.415906580656555	0.385226486062729	0.285551518984723	0.37402298835972	0.364513572118387	0.342378695162976	0.34083159709508	0.457008441331781	0.303007433035454	0.296363835478861	0.292576190392308	0.32285373932613	0.341944937359417	0.280603847421454	0.475601472165635	0.377469447967592	0.310378030104822	0.336940284371025	0.341820765245208	0.263952179096854	0.396269618989495	0.306981557279695	0.275280363983263	0.264946700290666	0.275902032626515	0.304518545256308	0.333433242068031	0.323102549154654	0.295221031238114	0.294143808612609	0.383599355759072	0.302470642481432	0.345217263148308	0.358621717281681	0.319939714842617	0.249107844517489	0.279764566375679	0.256446942045517	0.432047316400149	0.341275303426447	0.241386489012136	0.321066681617297	0.34509096768284	0.291581155699346	0.359439992698964	0.333225685120905	0.348547459066269	0.363543306313017	0.283723969013283	0.262657567644498	0.369660994334481	0.343430007864413	0.262056615989579	0.337494178669505	0.302678933212703	0.316264604408215	0.336293197013649	0.373464043258122	0.225620874877755	0.298078006412454	0.301859466592893	0.303057344659823	0.325539916777751	0.404045579050462	0.416306933219611	0.320134315543525	0.309069071073287
Gamma.delta.T.cellna	0.808077788210387	0.804951826439267	0.72307265376567	0.892016138496619	0.79592020052159	0.811777597164236	0.730675725135709	0.781650448111879	0.827598777917843	0.858170541576382	0.787772096447511	0.787338494533533	0.768817760444922	0.733871969616294	0.725112037132529	0.852970379807509	0.745462753844302	0.736196853595118	0.778560081198865	0.753589598095252	0.776618998606163	0.735419793086674	0.791495184181459	0.786839988613744	0.755804767208896	0.754366658253565	0.708770635577892	0.736643215205064	0.707215917398835	0.783263494624863	0.769645549107085	0.788942762272724	0.819586951825039	0.754361520651227	0.743399007979911	0.757846863418394	0.767276888372643	0.68921812625298	0.776181642867841	0.731455124390265	0.721784276593519	0.786912553508258	0.757445720570949	0.805919057173358	0.822347134482756	0.748345611660168	0.756281062776701	0.794677106273247	0.746538864612996	0.755632757167743	0.771581184911244	0.783596099336513	0.757717299413337	0.750316612307877	0.812438831810186	0.780603655511693	0.827385823571681	0.806116807040997	0.76118713095	0.761992034734697	0.72974675663095	0.877424345932641	0.78846645755454	0.809521673788476	0.78103782173619	0.770602322605478	0.737194907737599	0.796396421224396	0.764825812888263	0.744496602162735	0.719185179845255	0.713345725257123	0.7286376844643	0.708441805645183	0.790825509445383	0.78220280341451	0.822632699878413	0.791478988297044	0.741251517265537	0.780766021506134	0.793780206717613	0.747246496262584	0.761725878004418	0.781905595528769	0.766418188519976	0.795919903069174	0.800415517765668	0.74855406345138	0.757708846449004	0.746832638084143	0.714789256027892	0.797451454638058	0.76224460506276	0.719549685294481	0.773596310430213	0.744920284145872	0.771334303696023	0.793930826888444	0.741033811937528	0.794753165862801	0.839012676537339	0.813525578301703	0.756625505278844	0.748968472510549	0.742734404161429	0.79106321371661	0.764875287349085	0.731094753697456	0.742040999514667	0.738252038716756	0.796758451563491	0.820590555168787	0.70043075942457	0.74210475107076	0.781564964641183	0.737537600295378	0.778398196940511	0.778283090644402	0.773014670507126	0.779423041957699	0.808679890640575	0.743089651476016
Immature..B.cellna	0.400509836451272	0.368273991169393	0.42912997897622	0.641800398475195	0.509243035067302	0.504936925805193	0.330023650132551	0.332585045177158	0.574702901349516	0.567409881252866	0.394203554750295	0.419968189501205	0.387693777110474	0.353433319706489	0.42063326743464	0.518711172848313	0.423651551682993	0.312899954912366	0.402672074123	0.471337554015731	0.372892922359887	0.325332596781279	0.465771200232371	0.470751583490045	0.401343289325263	0.372112434329185	0.361736659997798	0.283997714220588	0.303973010920539	0.365835869921191	0.383798924990449	0.480354783589295	0.545050289070966	0.419390080260655	0.389242528355237	0.35021865907051	0.518494146537276	0.322289197150867	0.340530258091679	0.398321953206118	0.427657137088755	0.36577771551429	0.397697901322566	0.353985138724062	0.488422591420227	0.416429683703523	0.338743362871031	0.453264725433948	0.306119705011775	0.372470387790543	0.450222363830447	0.382611334691812	0.342981689330578	0.308622563308961	0.518002273632436	0.344009793724477	0.429019877916514	0.539926345167336	0.402779940743342	0.406615268005311	0.349666548643846	0.603492805186535	0.442500216684332	0.510626877630394	0.298039777671448	0.384040389737822	0.343701331362238	0.462316151440411	0.356994882088368	0.39958887881426	0.3318829793291	0.312055187095118	0.504816742822368	0.267125077632012	0.523167315502374	0.472295070547084	0.442406528050198	0.466073408886048	0.303013118173367	0.422957530346357	0.381231315480962	0.318588148873668	0.421564203156648	0.448751321937389	0.380566813411235	0.512914908323913	0.427969770820626	0.28401856453149	0.435134858323043	0.403423343094421	0.323578357335186	0.281660332039767	0.346685295731488	0.382336259774913	0.37749627572972	0.419121457017561	0.401750394749973	0.563461093008506	0.252070075147048	0.468200201523665	0.468662053289841	0.425765118250299	0.392727563996225	0.328206231376909	0.344357324632875	0.462050275102052	0.344661322772835	0.355899478859577	0.34903097458248	0.393950630606566	0.430208707646592	0.431379303571471	0.277760980955849	0.426453804300013	0.452281837703484	0.418833221177997	0.384688252948662	0.507373701383377	0.455797095581358	0.387029658922987	0.408154028280456	0.399772822866815
Immature.dendritic.cellna	0.75464561655988	0.75229772784814	0.654142544032241	0.744873410521143	0.71033284742846	0.741543754751416	0.69682463868523	0.68175951609907	0.729742855404026	0.735886562904533	0.690350486073683	0.715190887747111	0.707833429152954	0.639347312049525	0.689799624768977	0.823562608627306	0.692302104237991	0.670453270279773	0.712163741379861	0.686832879426064	0.736200340627711	0.663762208503869	0.709110492148636	0.74425194614753	0.688903439898156	0.675040348709427	0.762607273097294	0.662384336438306	0.686361688490659	0.695810384281987	0.714662370487485	0.725586739885213	0.736705329294613	0.680231761433297	0.724291810469043	0.69636943301577	0.723953386823318	0.775298019227524	0.717311476273719	0.692002575958699	0.739496567140143	0.733855921966655	0.750592865998285	0.73309931367835	0.74200072120006	0.716171110982224	0.69349102737876	0.720226141864091	0.726298104677738	0.720811787191279	0.743369718239687	0.678887842141605	0.712674056562514	0.671284902417547	0.727186836252298	0.704837972232349	0.733835836798288	0.702068229082591	0.729499119612151	0.657264423971424	0.647429535092436	0.697123175971655	0.721818043209595	0.696747381279299	0.708892184538883	0.730245055018142	0.671039885433749	0.690263601481513	0.693996794703483	0.705377490254299	0.678152145312143	0.760587297841578	0.718674963913449	0.704254689440005	0.739850235384215	0.737562850139088	0.76175382450672	0.722247868030799	0.672621874915288	0.724796107959637	0.692789535318631	0.687427683012949	0.663531086095428	0.735491685235871	0.754486385444951	0.714418198352179	0.664231472728002	0.693767109545731	0.724822403804166	0.709007666998096	0.687430353862596	0.686261976095317	0.67411596358869	0.688535031892755	0.746126625701121	0.714223705256617	0.69472410245349	0.759159746138544	0.679163519289338	0.67955968423164	0.726736080736941	0.700830366378226	0.775168393118407	0.754667093102649	0.698671141207928	0.743615665888042	0.682324905115463	0.7116429587511	0.693251533334033	0.772986250270148	0.721587308857088	0.732011343745802	0.728584196539463	0.67668053283745	0.687041315357191	0.643887392860994	0.684985089057185	0.637733348514196	0.702961670814215	0.687592548030887	0.68725993360633	0.738061636333438
