Gene	Num
TP53	141
TTN	72
MUC16	38
CSMD3	29
SYNE1	28
FLG	27
MUC4	26
DNAH5	26
PCLO	25
HMCN1	24
LRP1B	20
KMT2D	20
RYR2	19
FAT3	19
EYS	18
ZNF804B	18
SPTA1	17
CSMD1	16
NFE2L2	16
SACS	16
DYNC2H1	16
CNTNAP5	15
PKHD1L1	15
PIK3CA	15
OBSCN	15
USH2A	15
LAMA1	14
NOTCH1	14
RYR3	14
ARID1A	14
COL11A1	14
ADGRV1	14
MUC17	14
UNC13C	14
IVL	13
ZNF208	13
LRRK2	13
RIMS1	13
DCDC1	13
ABCA13	12
ZNF750	12
LRP2	12
FMN2	12
PEG3	12
DNAH10	12
PCDH15	12
PCDH9	12
COL6A5	12
SMAD4	12
FAT4	12
NAV3	12
SI	12
PTPRD	11
HYDIN	11
ERBB2	11
XIRP2	11
DMD	11
ERBB4	11
DNAH3	11
KMT2C	11
WDFY4	11
DNAH14	11
APOB	11
DCHS2	11
SMARCA4	11
TRRAP	11
NBEA	11
MUC5B	11
SORCS3	10
HUWE1	10
COL6A3	10
FAM47C	10
GOLGA6L6	10
TENM4	10
PDZD2	10
MRC1	10
ZNF292	10
DCC	10
DOCK2	10
PCDHB3	10
ROBO2	10
AKAP9	10
FBXW7	10
LRRIQ1	10
KCNT2	10
GNAS	10
CDH11	10
DNAH9	10
TG	10
MYO16	10
PCDH11X	10
DSEL	10
COL12A1	10
LAMA5	10
FBN2	10
MUC6	10
ZFHX4	10
SCN5A	9
ADAMTS19	9
DNAH11	9
SYNE2	9
MDGA2	9
HCN1	9
CFAP54	9
DNAH8	9
ZNF521	9
FBN1	9
SPATA31D1	9
FREM2	9
ASXL3	9
NEB	9
FAM135B	9
PCDHA7	9
PREX2	9
EP300	9
PTPRT	9
CCDC168	9
DNAH7	9
MACF1	9
TGFBR2	9
ABCA12	9
PRKDC	9
CUBN	9
PAPPA2	9
MROH2B	9
SALL1	9
KALRN	9
PXDNL	9
ADGRB3	9
DIDO1	9
TRPM3	9
KIAA1324L	9
GRIK4	8
LRFN5	8
FOXG1	8
SLITRK5	8
WDR17	8
BOD1L1	8
KCNQ3	8
THSD7B	8
SPEF2	8
CRB1	8
SCN1A	8
TPTE	8
FAT2	8
SAMD9L	8
HTT	8
FBN3	8
APC	8
GOLGA6L22	8
MAP2	8
HSPG2	8
REV3L	8
GRM8	8
DOCK3	8
PLXNA4	8
EPB41L3	8
MYCBP2	8
PROX1	8
LPA	8
VCAN	8
PXDN	8
TCHH	8
TENM1	8
FBXO15	8
RP1	8
CDKN2A	8
CSMD2	8
ADGRL2	8
FIGN	8
PTCH1	8
ANK3	8
SPATA31A6	8
HDAC9	8
TENM3	8
UNC80	8
ADCY8	8
SEMA6D	8
SDK1	8
BRINP1	8
HERC2	8
FLG2	7
ZNF469	7
USP29	7
KIF20B	7
PKD1L1	7
ASXL1	7
WBSCR17	7
LRRTM4	7
C6orf118	7
DPP6	7
MDN1	7
ZNF804A	7
PLXNB2	7
MYH13	7
PCNXL3	7
MTUS2	7
KCNMA1	7
CEP290	7
PCDH20	7
SLCO1C1	7
SORCS1	7
ADGRB2	7
NAV2	7
MROH9	7
CHD3	7
IFI16	7
MMP16	7
NOTCH3	7
FRMD4A	7
TRIM49	7
ITK	7
OLFM1	7
SLITRK3	7
ARHGAP21	7
ABCA6	7
ATP8A1	7
CRYBG3	7
MYO15A	7
GOLGB1	7
SCN3A	7
PLCL1	7
RELN	7
NIPBL	7
GRM1	7
PCDHA10	7
MAP3K1	7
OR5L2	7
CHRM2	7
KMT2B	7
NLGN1	7
MYH7	7
HERC1	7
NME8	7
GON4L	7
SETBP1	7
ZNF536	7
CFAP46	7
SHROOM2	7
PRAMEF6	7
TMEM132D	7
DNAH17	7
OR4C16	7
BCHE	7
STXBP5L	7
CDH7	7
ATP10D	7
AKAP13	7
GABRA2	7
CNTN6	7
FNDC1	7
ARAP2	7
KIAA1109	7
MAGEC1	7
SIGLEC1	7
TMEM132C	7
BRINP3	7
TRPS1	7
POTEB3	7
GRIA1	7
TLN2	7
CMYA5	7
ZFPM2	7
SNTG2	7
FAM179A	7
VPS13B	7
FSIP2	7
OR5D13	7
TSGA10	7
ERICH3	7
ANKRD30A	7
GOLGA3	7
FANCM	7
LRP12	7
RNF213	7
SLCO1B3	7
ASTN2	7
KIAA0319	7
SCN7A	7
MED1	6
ANGPT1	6
ZNF423	6
FOLH1	6
MDC1	6
CNTNAP4	6
TNXB	6
TNC	6
FLNC	6
CDH12	6
ANKRD36	6
CDH9	6
PCNX	6
NELL1	6
AK9	6
ADAMTS2	6
FCGBP	6
CFH	6
SEMA5A	6
MAGEE2	6
