from	to	cor	pvalue	color	weight
ALKBH5	YTHDF1	0.42996095344119	5.56483640909665e-14	pink	2.57976572064714
ALKBH5	YTHDF3	0.321983681875375	3.77133848348874e-08	pink	1.93190209125225
ALKBH5	LRPPRC	0.377246601559038	7.25538493450348e-11	pink	2.26347960935423
ALKBH5	IGFBP3	0.247434960611344	2.92025615328394e-05	pink	1.48460976366806
ALKBH5	RBMX	0.360301325559855	5.62122984645291e-10	pink	2.16180795335913
ALKBH5	METTL3	0.351536979872296	1.54771439126297e-09	pink	2.10922187923377
YTHDC1	YTHDF3	0.2357923726762	6.97763816599197e-05	pink	1.4147542360572
YTHDC1	FMR1	0.264795999307642	7.34654066048077e-06	pink	1.58877599584585
YTHDC1	WTAP	0.286818291571994	1.10447400189089e-06	pink	1.72090974943196
YTHDC1	ZC3H13	0.283543666653126	1.47931558498995e-06	pink	1.70126199991876
YTHDC2	YTHDF2	0.39165999536128	1.15559884345505e-11	pink	2.34995997216768
YTHDC2	YTHDF3	0.514051276889438	3.21601123627147e-20	pink	3.08430766133663
YTHDC2	IGFBP3	-0.270416683755511	4.60053610870963e-06	#6495ED	1.62250010253307
YTHDC2	WTAP	0.310921858666843	1.14479989465568e-07	pink	1.86553115200106
YTHDC2	RBM15B	0.393927994354127	8.58390099066041e-12	pink	2.36356796612476
YTHDF1	YTHDF3	0.392064562028684	1.09609043853223e-11	pink	2.3523873721721
YTHDF1	LRPPRC	0.504715844294747	1.9391288259622e-19	pink	3.02829506576848
YTHDF1	RBMX	0.436210585745848	2.1808446678397e-14	pink	2.61726351447509
YTHDF1	METTL3	0.374210800481524	1.05628796067613e-10	pink	2.24526480288915
YTHDF1	RBM15	0.430092239062878	5.45747861044094e-14	pink	2.58055343437727
YTHDF1	RBM15B	0.266254251977192	6.51303990602688e-06	pink	1.59752551186315
YTHDF2	YTHDF3	0.368776586867246	2.04917972440092e-10	pink	2.21265952120348
YTHDF2	LRPPRC	0.363735061363014	3.74816021472128e-10	pink	2.18241036817809
YTHDF2	RBMX	0.261148440083869	9.8982914658263e-06	pink	1.56689064050321
YTHDF2	METTL3	0.446393114493004	4.5457862190206e-15	pink	2.67835868695802
YTHDF2	WTAP	0.377462101509578	7.06344715101516e-11	pink	2.26477260905747
YTHDF2	RBM15	0.381993584527755	4.00115673521677e-11	pink	2.29196150716653
YTHDF2	RBM15B	0.475974516016005	3.50988624483725e-17	pink	2.85584709609603
YTHDF3	LRPPRC	0.515732911724904	2.31310685985536e-20	pink	3.09439747034943
YTHDF3	RBMX	0.290441422830958	7.95911834348432e-07	pink	1.74264853698575
YTHDF3	METTL3	0.431948029634558	4.14007303501143e-14	pink	2.59168817780735
YTHDF3	WTAP	0.311490630260216	1.08245438686835e-07	pink	1.8689437815613
YTHDF3	RBM15	0.406682354367572	1.54511221122052e-12	pink	2.44009412620543
YTHDF3	RBM15B	0.369643271251756	1.8451806243939e-10	pink	2.21785962751054
FMR1	ZC3H13	0.450580177080123	2.34911940325885e-15	pink	2.70348106248074
FMR1	RBM15	0.26674358145573	6.25410988405007e-06	pink	1.60046148873438
LRPPRC	RBMX	0.476986100330428	2.94701993640091e-17	pink	2.86191660198257
LRPPRC	METTL3	0.465299032200298	2.14422464572934e-16	pink	2.79179419320179
LRPPRC	RBM15	0.580504152217333	1.56484078649863e-26	pink	3.483024913304
LRPPRC	RBM15B	0.356115506046547	9.15338206206214e-10	pink	2.13669303627928
RBMX	METTL3	0.450863416724194	2.24578489691771e-15	pink	2.70518050034516
RBMX	WTAP	0.278056035809541	2.39410560218563e-06	pink	1.66833621485724
RBMX	RBM15	0.374533370051636	1.0151494467062e-10	pink	2.24720022030982
METTL3	WTAP	0.247195523515003	2.97433411062096e-05	pink	1.48317314109002
METTL3	RBM15	0.329940616877608	1.64969605415552e-08	pink	1.97964370126565
METTL3	RBM15B	0.307365048807447	1.62053282917801e-07	pink	1.84419029284468
ZC3H13	RBM15B	-0.232562168966969	8.81789996026792e-05	#6495ED	1.39537301380181
