chromosome	start	stop	seg.mean
chr1	28736621	28769775	-1
chr1	110338506	110346681	-1
chr2	43886508	43996005	1
chr2	216632828	216664436	-1
chr3	51391268	51397908	-1
chr4	68310387	68350089	1
chr4	118685368	118715433	0
chr5	113513683	113595285	-1
chr6	159725585	159756319	1
chr7	26189927	26201529	1
chr7	45888357	45893668	1
chr7	45912245	45921874	1
chrX	136848004	136880764	1
chrX	147911951	147951125	1
chr8	63168553	63212786	-1
chr8	94487693	94553529	1
chr13	45954465	46052759	-1
chr14	21209136	21269494	-1
chr14	21498133	21511375	-1
chr16	53703963	54121941	1
chr17	2405562	2511891	-1
chr17	18183078	18209954	-1
chr20	63195429	63216234	1
