Chromosome	chromStart	chromEnd	Gene
chr1	28736621	28769775	YTHDF2
chr1	110338506	110346681	RBM15
chr2	43886508	43996005	LRPPRC
chr2	216632828	216664436	IGFBP2
chr3	51391268	51397908	RBM15B
chr4	68310387	68350089	YTHDC1
chr4	118685368	118715433	METTL14
chr5	113513683	113595285	YTHDC2
chr6	159725585	159756319	WTAP
chr7	26189927	26201529	HNRNPA2B1
chr7	45888357	45893668	IGFBP1
chr7	45912245	45921874	IGFBP3
chrX	136848004	136880764	RBMX
chrX	147911951	147951125	FMR1
chr8	63168553	63212786	YTHDF3
chr8	94487693	94553529	VIRMA
chr13	45954465	46052759	ZC3H13
chr14	21209136	21269494	HNRNPC
chr14	21498133	21511375	METTL3
chr16	53703963	54121941	FTO
chr17	2405562	2511891	METTL16
chr17	18183078	18209954	ALKBH5
chr20	63195429	63216234	YTHDF1
